try/real_world/suggest_memory_format.py,4,4,13,0
try/real_world/canonicalize_dim.py,9,10,37,6
try/real_world/validate_memory_format.py,1,0,5,0
try/real_world/__lt__.py,1,0,6,0
try/real_world/make_channels_last_3d_strides_for.py,2,1,20,4
try/real_world/number_type.py,4,4,17,0
try/real_world/get_higher_type.py,7,8,26,1
try/real_world/compute_elementwise_output_logical_to_physical_perm.py,18,34,115,9
try/real_world/check_fp_or_complex.py,3,2,12,3
try/real_world/dtype_to_type_ctor.py,6,4,19,0
try/real_world/extract_dims_from_varargs.py,4,3,16,1
try/real_world/make_channels_last_strides_for.py,5,5,14,0
try/real_world/is_channels_last_contiguous_2d.py,5,6,22,0
try/real_world/get_torch_state_as_tuple.py,2,1,19,1
try/real_world/corresponding_complex_dtype.py,1,0,6,0
try/real_world/get_higher_dtype.py,11,21,115,4
try/real_world/validate_no_repeating_dims.py,2,1,5,0
try/real_world/check_same_dtype.py,8,17,60,10
try/real_world/invert_perm.py,2,1,15,2
try/real_world/make_channels_last_1d_strides_for.py,2,1,18,2
try/real_world/compare_tensor_meta.py,16,18,84,5
try/real_world/reduction_dims.py,3,1,16,0
try/real_world/device_or_default.py,2,1,6,0
try/real_world/check_significant_strides.py,1,0,10,0
try/real_world/_find_highest_dtype_filtered.py,8,13,39,2
try/real_world/check_same_device.py,9,16,42,7
try/real_world/is_valid_permutation.py,3,2,7,2
try/real_world/alert_not_deterministic.py,3,4,3,0
try/real_world/__eq__.py,1,0,6,0
try/real_world/elementwise_dtypes.py,24,45,183,5
try/real_world/compute_elementwise_output_strides.py,8,5,48,2
try/real_world/check_is_matrix.py,1,0,4,0
try/real_world/validate_shape.py,3,1,7,0
try/real_world/is_weakly_lesser_type.py,6,7,22,1
try/real_world/_maybe_get_pytype.py,4,4,5,0
try/real_world/compute_required_storage_length.py,3,1,20,4
try/real_world/extract_shape_from_varargs.py,4,3,15,1
try/real_world/__ge__.py,1,0,6,0
try/real_world/is_integer_dtype.py,2,0,7,0
try/real_world/validate_exclusive_idx.py,4,1,13,1
try/real_world/compute_reduction_output_shape.py,4,4,20,0
try/real_world/set_correction.py,10,10,22,4
try/real_world/is_channels_last_contiguous.py,2,1,3,1
try/real_world/dtype_to_type.py,6,4,13,0
try/real_world/is_non_overlapping_and_dense.py,8,9,63,1
try/real_world/check_same_shape.py,8,15,35,4
try/real_world/is_float_dtype.py,2,0,7,0
try/real_world/_check_strides_helper.py,9,10,34,7
try/real_world/is_cpu_scalar_tensor.py,3,1,4,2
try/real_world/get_aten_op.py,3,1,24,1
try/real_world/is_channels_last_contiguous_3d.py,5,6,23,0
try/real_world/dtype_or_default.py,2,1,8,0
try/real_world/make_channels_last_2d_strides_for.py,2,1,19,3
try/real_world/is_complex_dtype.py,2,0,7,0
try/real_world/canonicalize_device.py,3,1,13,0
try/real_world/infer_size.py,6,10,50,3
try/real_world/check_pin_memory.py,1,0,2,1
try/real_world/make_contiguous_strides_for.py,6,8,31,4
try/real_world/get_dtype.py,2,2,8,0
try/real_world/check.py,1,0,6,0
try/real_world/extract_shape.py,9,16,31,2
try/real_world/is_boolean_dtype.py,2,0,10,0
try/real_world/apply_perm.py,2,1,17,2
try/real_world/set_new_offset.py,1,0,2,0
try/real_world/reduction_dtypes.py,8,8,49,2
try/real_world/canonicalize_dims.py,3,1,15,0
try/real_world/prod.py,1,0,4,0
try/real_world/_extract_dtype.py,5,4,20,0
try/real_world/layout_or_default.py,2,1,8,0
try/real_world/should_swap.py,7,10,27,2
try/real_world/mask_tensor.py,2,2,9,0
try/real_world/validate_dim_length.py,3,2,8,0
try/real_world/get_computation_dtype.py,1,0,7,0
try/real_world/validate_strides.py,4,1,5,0
try/real_world/check_layout.py,1,0,6,0
try/real_world/same_shape.py,6,9,25,0
try/real_world/are_strides_like_channels_last.py,10,14,43,1
try/real_world/clone_preserve_strides.py,1,0,49,0
try/real_world/can_safe_cast_to.py,4,5,15,0
try/real_world/infer_size_shapes.py,7,8,58,12
try/real_world/is_contiguous.py,5,6,23,1
try/real_world/get_acc_type.py,2,2,12,0
try/real_world/expr_type.py,2,2,2,0
try/real_world/__le__.py,1,0,6,0
try/real_world/corresponding_real_dtype.py,1,0,6,0
try/real_world/is_same_shape.py,1,0,8,0
try/real_world/check_in_bounds_for_storage.py,2,1,14,0
try/real_world/type_to_dtype.py,6,4,19,0
try/real_world/validate_dimension_indices.py,2,1,7,0
try/real_world/check_all_strides.py,1,0,10,0
try/real_world/set_torch_state_tensor.py,1,0,23,0
try/real_world/is_low_precision_dtype.py,2,0,7,0
try/real_world/is_expandable_to.py,5,5,18,7
try/real_world/is_contiguous_for_memory_format.py,4,3,15,0
try/real_world/__gt__.py,1,0,6,0
try/real_world/is_grad_dtype.py,2,1,4,1
try/real_world/validate_idx.py,4,2,14,2
